im_name,accuracy,psnr,snr
Venus_f_0_32_14.png,95.46,22.66,12.15
Venus_f_0_32_15.png,95.74,22.77,12.26
Venus_f_0_32_16.png,77.93,17.58,7.07
Venus_f_0_32_17.png,12.58,13.11,2.6
Venus_f_0_32_18.png,95.42,22.67,12.16
Venus_f_0_32_2.png,95.42,22.67,12.16
Venus_f_0_32_3.png,95.42,22.67,12.16
Venus_f_0_32_4.png,95.42,22.67,12.16
Venus_f_0_32_5.png,95.42,22.67,12.16
Venus_f_0_32_6.png,95.42,22.67,12.16
Venus_f_0_32_7.png,95.42,22.67,12.16
Venus_f_0_32_8.png,95.43,22.68,12.16
Venus_f_0_32_9.png,95.43,22.68,12.16
Venus_f_0_33_0.png,95.42,22.67,12.16
Venus_f_0_33_1.png,95.42,22.67,12.16
Venus_f_0_33_10.png,95.42,22.67,12.16
Venus_f_0_33_11.png,95.43,22.68,12.16
Venus_f_0_33_12.png,95.42,22.67,12.16
Venus_f_0_33_13.png,95.47,22.67,12.16
Venus_f_0_33_14.png,95.46,22.66,12.15
Venus_f_0_33_15.png,95.74,22.77,12.26
Venus_f_0_33_16.png,77.93,17.58,7.07
Venus_f_0_33_17.png,12.58,13.11,2.6
Venus_f_0_33_18.png,95.42,22.67,12.16
Venus_f_0_33_2.png,95.42,22.67,12.16
Venus_f_0_33_3.png,95.42,22.67,12.16
Venus_f_0_33_4.png,95.42,22.67,12.16
Venus_f_0_33_5.png,95.42,22.67,12.16
Venus_f_0_33_6.png,95.42,22.67,12.16
Venus_f_0_33_7.png,95.42,22.67,12.16
Venus_f_0_33_8.png,95.43,22.68,12.16
Venus_f_0_33_9.png,95.43,22.68,12.16
Venus_f_0_34_0.png,95.42,22.67,12.16
Venus_f_0_34_1.png,95.42,22.67,12.16
Venus_f_0_34_10.png,95.42,22.67,12.16
Venus_f_0_34_11.png,95.43,22.68,12.17
Venus_f_0_34_12.png,95.42,22.67,12.16
Venus_f_0_34_13.png,95.47,22.67,12.16
Venus_f_0_34_14.png,95.46,22.66,12.15
Venus_f_0_34_15.png,95.74,22.77,12.26
Venus_f_0_34_16.png,77.93,17.58,7.07
Venus_f_0_34_17.png,12.58,13.11,2.6
Venus_f_0_34_18.png,95.42,22.67,12.16
Venus_f_0_34_2.png,95.42,22.67,12.16
Venus_f_0_34_3.png,95.42,22.67,12.16
Venus_f_0_34_4.png,95.42,22.67,12.16
Venus_f_0_34_5.png,95.42,22.67,12.16
Venus_f_0_34_6.png,95.42,22.67,12.16
Venus_f_0_34_7.png,95.42,22.68,12.16
Venus_f_0_34_8.png,95.43,22.68,12.17
Venus_f_0_34_9.png,95.43,22.68,12.17
Venus_f_0_35_0.png,95.42,22.67,12.16
Venus_f_0_35_1.png,95.42,22.67,12.16
